ID,Age,Salary,Department,JoinDate
1,,88053.0,Marketing,2023-09-15
2,,96199.0,Sales,2012-04-02
3,,91087.0,Sales,2012-08-01
4,,113211.0,Sales,2022-02-12
5,,97172.0,Sales,2012-02-14
6,,56736.0,Sales,2016-01-08
7,,425657.0,HR,2018-08-23
8,,93734.0,Sales,2021-08-13
9,,42688.0,HR,2020-02-13
10,,119045.0,Sales,2019-06-15
11,28.0,393384.0,Marketing,2012-07-03
12,28.0,391906.0,Engineering,2013-08-01
13,41.0,102082.0,HR,2021-06-09
14,53.0,41411.0,Sales,2011-05-29
15,57.0,400689.0,Marketing,2015-04-05
16,41.0,31802.0,Engineering,2019-11-04
17,20.0,115981.0,HR,2023-04-04
18,39.0,76843.0,Engineering,2013-11-10
19,19.0,59855.0,Marketing,2023-02-24
20,41.0,315151.0,HR,2022-07-03
21,61.0,,Engineering,2018-09-26
22,47.0,,Sales,2022-04-19
23,55.0,,HR,2014-04-05
24,19.0,,Engineering,2012-03-15
25,38.0,,Marketing,2023-10-09
26,50.0,,Marketing,2013-07-03
27,29.0,,HR,2023-09-10
28,39.0,,Engineering,2019-10-18
29,61.0,,HR,2017-12-11
30,42.0,,HR,2013-10-19
31,66.0,35895.0,Engineering,2022-11-02
32,44.0,78404.0,Engineering,2017-07-24
33,59.0,75714.0,Sales,2017-05-03
34,45.0,86491.0,Engineering,2015-10-08
35,33.0,66212.0,Marketing,2021-07-25
36,32.0,48711.0,HR,2023-03-25
37,64.0,84240.0,HR,2017-07-31
38,68.0,80336.0,Marketing,2020-10-28
39,61.0,64584.0,Engineering,2018-09-22
40,69.0,66631.0,Marketing,2018-12-25
41,20.0,65777.0,Marketing,
42,54.0,57751.0,Sales,
43,68.0,84748.0,Marketing,
44,24.0,439788.0,HR,
45,38.0,302368.0,Marketing,
46,26.0,106429.0,HR,
47,56.0,108657.0,HR,
48,35.0,79726.0,HR,
49,21.0,100313.0,Engineering,
50,42.0,450580.0,Sales,
51,31.0,78747.0,HR,2011-03-18
52,67.0,86179.0,HR,2015-09-08
53,26.0,373523.0,Engineering,2018-09-16
54,43.0,116672.0,HR,2017-04-11
55,19.0,58251.0,Marketing,2020-05-26
56,37.0,38308.0,Marketing,2012-03-15
